id,street,street_number,city,postal_code,lat,lon,name
1,Friedrich-Viehbacher-Allee,5,Regensburg,93055,48.98832966683645,12.14155631710349,Zilk Immobilien- + Verwaltungs-GmbH
2,Friedrich-Viehbacher-Allee,3,Regensburg,93055,48.98892086702966,12.141649489071922,Fahrschul-Zentrum Burgweinting UG (haftungsbeschränkt)
3,Friedrich-Viehbacher-Allee,3,Regensburg,93055,48.98892086702966,12.141649489071922,Aquaristik Walther GmbH
4,Neupfarrplatz,8,Regensburg,93047,49.01823147691124,12.097392038288373,Jende GmbH + Co. KG
5,Schopperplatz,6,Regensburg,93059,49.024290523263325,12.086604968865585,Tennisbau- + -betriebsgesellschaft der Regensburger Turnerschaft GmbH
6,Kaulbachweg,31,Regensburg,93051,49.002658289034464,12.075987299788997,Sportgemeinschaft Post/Süd Regensburg e.V.
7,Am Kreuzhof,3,Regensburg,93055,49.00679030055655,12.177313600879698,Seltenhofer GmbH
8,Erzbischof-Buchberger-Allee,12,Regensburg,93051,49.004711000040665,12.078867237510233,"Hammedinger Radio-, Fernseh- Video GmbH"
9,Cranachweg,16,Regensburg,93051,49.006915700057206,12.064527249974498,BFK Bau GmbH
10,Merianweg,4,Regensburg,93051,49.005926076604,12.062189112081034,Roadhouse Company Betriebs GmbH + Co. KG
11,Merianweg,4,Regensburg,93051,49.005926076604,12.062189112081034,Roadhouse-Company Verwaltungs GmbH
12,Merianweg,4,Regensburg,93051,49.005926076604,12.062189112081034,autogaszentrum ostbayern GmbH
13,Merianweg,4,Regensburg,93051,49.00542871447806,12.06229174300331,Roadhouse Company Betriebs GmbH + Co. KG
14,Merianweg,4,Regensburg,93051,49.00542871447806,12.06229174300331,Roadhouse-Company Verwaltungs GmbH
15,Merianweg,4,Regensburg,93051,49.00542871447806,12.06229174300331,autogaszentrum ostbayern GmbH
16,Cranachweg,10,Regensburg,93051,49.00629885004192,12.06490557505384,Kunstverlag Maximilian Liebl - Inhaber: Dipl.-Kfm. Walter J. Liebl
17,Merianweg,1,Regensburg,93051,49.00486192505616,12.063196025035827,Dental-Keramik Poljakow + Müller GmbH
18,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,S. Penka Steuerberatungsgesellschaft mbH
19,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,Penka + Partner Rechtsanwälte Steuerberater
20,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,Armin Freudenberg e.K.
21,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,A+O Handelsgesellschaft mbH
22,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,Lang Immobilien GmbH
23,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,Dr. Weinelt + Kollegen KG Treuhandgesellschaft
24,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,DGW Grundstücks GmbH + Co. KG
25,Cranachweg,3,Regensburg,93051,49.00611683338655,12.064488266699506,DGW Geschäftsführungsgesellschaft mbH
26,Cranachweg,8,Regensburg,93051,49.00603985004756,12.065081400019498,Gründerforum Bayern UG (haftungsbeschränkt)
27,Cranachweg,8,Regensburg,93051,49.00603985004756,12.065081400019498,Quindi Institut GmbH
28,Cranachweg,8,Regensburg,93051,49.00603985004756,12.065081400019498,StaF GmbH
29,Cranachweg,8,Regensburg,93051,49.00603985004756,12.065081400019498,Peringenio GmbH
30,Cranachweg,4,Regensburg,93051,49.00564513004219,12.065591349993134,DELTATIME GmbH
31,Cranachweg,4,Regensburg,93051,49.00564513004219,12.065591349993134,ETS ELEKTRO-TECHNIK-SCHÖN GmbH
32,Merianweg,3,Regensburg,93051,49.00473075008982,12.062850300137324,FINANZ + KONZEPT GmbH
33,Merianweg,3,Regensburg,93051,49.00473075008982,12.062850300137324,MehrWert Management GmbH
34,Merianweg,3,Regensburg,93051,49.00473075008982,12.062850300137324,KAG Erneuerbare Energien GmbH
35,Merianweg,3,Regensburg,93051,49.00473075008982,12.062850300137324,Konzept AG
36,Merianweg,3,Regensburg,93051,49.00473075008982,12.062850300137324,ASF Baudienstleistung GmbH
37,Cranachweg,1,Regensburg,93051,49.00592845005195,12.06410293349103,Dallmeier GmbH
38,Cranachweg,1,Regensburg,93051,49.00592845005195,12.06410293349103,Dallmeier electronic GmbH + Co. KG
39,Am Vitusbach,19,Regensburg,93051,49.00225445004389,12.086271150042371,TVS Semmelmann OHG
40,Am Vitusbach,17,Regensburg,93051,49.002366400047066,12.0864485500478,Weindinger Gastro GmbH
41,Donauerweg,5,Regensburg,93049,49.014900050026725,12.053564599999408,MEGIST Consulting GmbH
42,Raseliusweg,2,Regensburg,93049,49.01663037502671,12.051436424999697,Mihalovits Invest GmbH
43,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,E.K. Center Apotheke Joachim Bettge
44,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,Meyerhofer: Die grüne Bar e.K.
45,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,Luisa Retail GmbH
46,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,Saturn Electro-Handelsgesellschaft mbH
47,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,Meyerhofer GmbH
48,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,Tom + Peter Gastro Verwaltungs-GmbH
49,Weichser Weg,5,Regensburg,93059,49.02587829328238,12.116305575545244,Tom + Peter Gastro GmbH + Co. KG
